gene	time	log2_expr_level	term	estimate	std.error	statistic	p.value	conf.low	conf.high	identified_as
MOGS	2	-0.0139758744390992	time	0.006260478766471355	0.0018479465228124995	3.3878029960213136	0.07717752333091947	-0.0016905933843388721	0.014211550917281582	Non-significant
MOGS	6	-0.009600956570995578	time	0.006260478766471355	0.0018479465228124995	3.3878029960213136	0.07717752333091947	-0.0016905933843388721	0.014211550917281582	Non-significant
MOGS	10	0.07428243764719689	time	0.006260478766471355	0.0018479465228124995	3.3878029960213136	0.07717752333091947	-0.0016905933843388721	0.014211550917281582	Non-significant
MOGS	24	0.11827952905936279	time	0.006260478766471355	0.0018479465228124995	3.3878029960213136	0.07717752333091947	-0.0016905933843388721	0.014211550917281582	Non-significant
MON2	2	0.053208218303278265	time	-0.0037263797425128725	4.387376020995384e-4	-8.493413203428714	0.013580563048796929	-0.0056141152838301844	-0.0018386442011955604	Significant
MON2	6	0.048813504165650556	time	-0.0037263797425128725	4.387376020995384e-4	-8.493413203428714	0.013580563048796929	-0.0056141152838301844	-0.0018386442011955604	Significant
MON2	10	0.020003336980408903	time	-0.0037263797425128725	4.387376020995384e-4	-8.493413203428714	0.013580563048796929	-0.0056141152838301844	-0.0018386442011955604	Significant
MON2	24	-0.02539423232426241	time	-0.0037263797425128725	4.387376020995384e-4	-8.493413203428714	0.013580563048796929	-0.0056141152838301844	-0.0018386442011955604	Significant
MORC2	2	0.05378830690131409	time	0.0015422771989955448	0.0011505797204306146	1.3404348882651382	0.31207859205845223	-0.003408267775909612	0.006492822173900702	Non-significant
MORC2	6	0.07755462724627726	time	0.0015422771989955448	0.0011505797204306146	1.3404348882651382	0.31207859205845223	-0.003408267775909612	0.006492822173900702	Non-significant
MORC2	10	0.10199617818105544	time	0.0015422771989955448	0.0011505797204306146	1.3404348882651382	0.31207859205845223	-0.003408267775909612	0.006492822173900702	Non-significant
MORC2	24	0.09491264815434963	time	0.0015422771989955448	0.0011505797204306146	1.3404348882651382	0.31207859205845223	-0.003408267775909612	0.006492822173900702	Non-significant
MORF4L1	2	-0.008521125912412941	time	-0.022847283533625386	0.0025171109775561193	-9.07678832492637	0.011921069906036115	-0.03367753795228956	-0.012017029114961213	Significant
MORF4L1	6	-0.04798699402955542	time	-0.022847283533625386	0.0025171109775561193	-9.07678832492637	0.011921069906036115	-0.03367753795228956	-0.012017029114961213	Significant
MORF4L1	10	-0.11417539776521934	time	-0.022847283533625386	0.0025171109775561193	-9.07678832492637	0.011921069906036115	-0.03367753795228956	-0.012017029114961213	Significant
