genes	time	treatment	replicate	normalized_counts	mean_over_replicates	estimate	p.value	regulation	significance
RRP8	10h	Control	2	187.65827300806941	191.74611818078827	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
RRP8	10h	Control	3	178.7093754401599	191.74611818078827	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
RRP8	10h	Virus	1	194.4264481649633	192.77529497542295	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
RRP8	10h	Virus	2	212.52214795728034	192.77529497542295	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
RRP8	10h	Virus	3	171.3772888040252	192.77529497542295	1.0291767946346149	0.9482161357561868	Upregulated	Not significant
RRP8	24h	Control	1	203.79016270614494	203.44106417807254	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
RRP8	24h	Control	2	212.61986222683475	203.44106417807254	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
RRP8	24h	Control	3	193.9131676012379	203.44106417807254	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
RRP8	24h	Virus	1	189.3032810900145	184.53673933640124	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
RRP8	24h	Virus	2	198.69255043825368	184.53673933640124	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
RRP8	24h	Virus	3	165.61438648093556	184.53673933640124	-18.90432484167131	0.16751042044858866	Downregulated	Not significant
PABPN1	2h	Control	1	560.8372491353069	580.7597785668434	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	2h	Control	2	583.0690690054998	580.7597785668434	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	2h	Control	3	598.3730175597232	580.7597785668434	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	2h	Virus	1	565.114898711372	563.6130809377538	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	2h	Virus	2	552.3133689541504	563.6130809377538	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	2h	Virus	3	573.410975147739	563.6130809377538	-17.14669762908949	0.24224295579791155	Downregulated	Not significant
PABPN1	6h	Control	1	554.7702026229697	579.0673386895579	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	6h	Control	2	551.75275807590765	579.0673386895579	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	6h	Control	3	630.6790553697965	579.0673386895579	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	6h	Virus	1	571.4761475744276	576.7460291648425	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	6h	Virus	2	545.4189926037859	576.7460291648425	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	6h	Virus	3	613.3429473163139	576.7460291648425	-2.3213095247155624	0.9465352801600186	Downregulated	Not significant
PABPN1	10h	Control	1	565.0220250290213	572.8903616440763	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	10h	Control	2	565.4988403995444	572.8903616440763	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	10h	Control	3	588.150219503663	572.8903616440763	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	10h	Virus	1	555.226292212293	556.129963910392	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	10h	Virus	2	552.824939991689	556.129963910392	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	10h	Virus	3	560.338659527194	556.129963910392	-16.760397733684425	0.1025818618654015	Downregulated	Not significant
PABPN1	24h	Control	1	542.2876068168941	565.4758466074961	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
PABPN1	24h	Control	2	570.8638840661297	565.4758466074961	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
PABPN1	24h	Control	3	583.2760489394645	565.4758466074961	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
PABPN1	24h	Virus	1	534.9402228794271	561.0303039271938	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
PABPN1	24h	Virus	2	563.7766958427658	561.0303039271938	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
PABPN1	24h	Virus	3	584.3739930593886	561.0303039271938	-4.445542680302453	0.8245293883500818	Downregulated	Not significant
DCAF7	2h	Control	1	262.1377847050686	281.303120338184	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	2h	Control	2	274.02327679166643	281.303120338184	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	2h	Control	3	307.748299517817	281.303120338184	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	2h	Virus	1	273.1881849856044	259.18019289160145	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	2h	Virus	2	268.312513492683	259.18019289160145	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	2h	Virus	3	236.03988019651695	259.18019289160145	-22.122927446582572	0.2854243820321545	Downregulated	Not significant
DCAF7	6h	Control	1	245.7946184111986	250.43654696001914	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	6h	Control	2	244.25049690737282	250.43654696001914	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	6h	Control	3	261.264525561486	250.43654696001914	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	6h	Virus	1	277.05124009360554	284.83015670327694	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	6h	Virus	2	271.5960245470811	284.83015670327694	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	6h	Virus	3	305.8432054691442	284.83015670327694	34.39360974325781	0.044903492593865856	Upregulated	Significant
DCAF7	10h	Control	1	312.77117169308235	295.60810121526094	-39.18506499692593	0.020444840018793188	Downregulated	Significant
