"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"CDC42BPB",728.037,702.244,778.103,713.833,715.243,752.141,730.867,718.587,774.763,718.503,715.758,774.795,736.542,723.444,745.729,747.791,709.445,781.872,727.505,735.571,798.34,753.532,721.108,767.149
"CDC42EP2",26.7751,30.6312,31.379,27.066,32.1104,25.3786,24.328,31.8665,26.5908,24.9491,27.7423,28.3872,26.9293,31.4029,28.5925,24.4721,28.1995,29.0216,27.8427,23.4052,29.5097,28.2935,25.28,26.4641
"CDC42EP4",255.781,268.596,262.99,229.005,249.189,236.699,228.509,232.226,220.342,262.664,254.843,255.938,265.339,268.644,272.942,244.29,230.637,244.726,221.48,241.491,215.824,214.481,219.963,209.795
"CDC42SE2",46.0562,46.4193,52.3741,45.015,51.3307,55.6109,46.1852,47.8861,55.0497,44.6875,49.6698,52.1933,53.225,52.0246,60.3614,47.9529,49.6331,56.1268,45.7494,46.8532,67.7638,49.5986,50.3006,60.5108
"CDC45",25.2978,18.4367,24.4909,19.6893,16.5604,16.2031,19.1467,17.7409,15.425,24.5197,27.5953,25.8218,19.4019,20.7556,22.2211,21.6991,15.198,16.9882,19.7509,14.5265,16.7302,33.3891,27.3136,30.8959
"CDC5L",1410.39,1420.12,1419.56,1351.29,1304.67,1327.12,1398.81,1336.82,1353.33,1437.73,1403.44,1416.97,1337.19,1363.06,1389.61,1399.65,1337.06,1352.26,1388.44,1361.07,1309.53,1482.71,1429.59,1376.44
"CDC73",415.09,403.008,408.814,395.304,363.237,387.884,395.644,407.782,387.418,434.896,446.213,422.43,430.441,405.363,400.351,418.822,400.024,396.318,427.624,420.491,398.26,414.062,409.139,406.743
"CDCA2",12.429,12.4711,9.97796,14.4651,7.7314,9.7185,11.613,11.9816,7.57862,12.9979,12.8932,12.1392,15.4787,13.8096,9.16153,13.1749,11.2133,8.07819,12.6695,9.34075,5.4993,13.6384,13.4119,9.85066
"CDCP1",253.83,243.135,246.165,244.005,228.96,243.645,253.176,231.488,260.647,242.588,229.096,239.489,272.513,229.15,256.339,253.12,231.661,248.368,254.198,233.699,267.767,262.068,246.19,267.093
"CDH1",3963.68,3973.74,3858.36,3914.08,3896.61,3985.75,3824.76,3712.91,3795.1,3720.19,3625.96,3736.85,3929.05,3895.7,3888.46,3949.87,3812.41,3918.35,3919.44,3781.93,3663.69,3327.66,3351.45,3345.72
"CDH17",5253.49,5281.09,5130.36,5381.32,5374.4,5416.02,5182.43,5050.87,5073.51,4890.34,4796.46,4832.52,5226.7,5257.85,5021.36,5079.98,5241.17,5067.6,5266.85,5257.3,5228.4,5024.5,5190.95,4734.32
"CDH2",118.627,90.5387,112.401,103.744,98.6599,109.015,102.744,93.8722,105.698,114.512,107.808,118.008,99.8458,90.7496,104.007,100.403,92.5298,105.001,110.102,87.739,102.034,120.559,82.2034,130.663
"CDHR2",560.013,552.984,528.728,575.765,628.147,600.628,636.752,599.561,694.642,664.229,649.918,629.269,623.361,609.672,554.266,600.788,627.585,603.204,673.852,595.612,723.961,747.766,735.565,772.057
"CDHR5",606.672,656.078,576.028,647.293,712.58,734.204,775.47,806.967,833.093,748.469,796.908,661.291,740.11,688.574,604.308,677.26,782.365,666.931,756.159,800.257,845.578,862.719,942.348,845.374
"CDIPT",90.221,91.9681,78.6039,90.3966,84.0273,74.9978,92.5742,87.9135,82.7858,87.9782,88.383,83.3725,97.9195,95.7564,83.9322,98.4445,90.715,84.7143,90.0054,85.9473,79.2582,88.7644,80.9212,78.4929
"CDK1",1953.168,1813.771,1983.259,1695.618,1498.565,1642.472,1536.73,1552.156,1483.169,1862.081,1748.752,1924.828,1814.117,1745.504,1769.711,1710.546,1610.039,1622.231,1641.105,1607.002,1636.64,1761.667,1598.232,1881.699
"CDK11A",393.318,436.596,427.457,370.697,401.331,391.874,355.489,444.444,376.3,397.628,417.891,422.371,398.69,416.524,420.76,395.767,396.323,389.737,395.384,407.182,376.858,395.413,501.462,368.479
"CDK11B",255.733,264.471,250.767,244.624,239.406,262.462,251.155,244.968,263.238,275.519,257.391,262.156,260.585,261.299,256.906,263.244,240.428,241.757,239.602,244.454,252.681,252.403,240.6,252.509
"CDK12",157.331,150.933,147.986,133.832,144.197,157.609,149.664,139.988,165.108,147.162,156.206,159.511,149.769,163.28,164.915,143.221,162.79,151.621,149.81,162.035,147.498,135.446,152.402,143.719
"CDK13",177.889,182.748,193.985,144.62,158.655,170.822,155.514,171.615,185.15,167.519,176.988,186.235,163.499,180.272,185.569,161.069,168.123,179.643,166.13,176.002,175.364,168.964,141.177,145.596
"CDK18",37.3551,29.8111,27.5884,38.4748,30.4602,28.7701,33.6476,26.3275,28.5225,30.4311,26.7772,28.6776,32.317,26.8891,27.1701,31.0528,26.8985,29.1535,25.9317,25.8058,29.5327,30.0931,27.4958,18.3547
"CDK2",289.424,253.558,266.758,218.912,194.793,197.67,260.217,230.341,251.39,279.589,266.356,303.769,245.708,227.53,252.568,242.159,213.905,239.51,226.727,209.625,215.662,245.434,230.821,250.693
"CDK4",172.375,182.646,184.725,168.098,169.25,174.907,198.554,209.069,190.433,200.878,238.496,208.024,189.903,189.829,183.561,182.8,188.945,183.544,205.337,210.249,195.511,215.91,212.929,205.651
"CDK5",603.011,562.437,576.198,527.465,509.456,501.118,553.066,556.39,497.55,543.634,547.346,535.95,566.035,547.397,517.442,562.991,569.071,536.723,534.165,542.642,514.649,560.744,506.897,496.25
"CDK5RAP3",696.724,637.795,693.456,705.73,653.406,707.9,731.748,638.137,694.643,754.814,656.902,686.355,687.248,657.876,694.74,719.427,627.251,716.945,742.007,650.185,685.24,756.52,682.96,695.864
"CDK7",37.5001,35.1805,30.4889,29.8552,30.6775,36.4292,33.6836,35.2256,35.1572,35.8655,36.6922,43.8334,37.3188,39.1212,41.0698,34.5665,29.7981,35.657,41.0494,38.8219,36.9834,32.8349,41.9788,41.7318
"CDK9",84.5924,75.6794,79.9057,61.157,72.805,70.9041,79.8908,80.4666,69.502,87.2791,83.9914,78.7941,85.1186,86.3941,86.659,89.6384,81.9168,73.9138,88.7692,84.5009,70.4146,87.6878,65.2133,74.0348
"CDKN2A",237.2245,203.8831,198.4205,176.0093,149.8676,165.4916,255.8012,208.4095,202.1962,237.0664,185.9943,201.7912,214.3392,187.8891,199.412,239.6328,191.8038,204.6989,220.7692,165.9596,194.5336,238.3688,208.6841,218.0436
"CDKN2AIP",188.189,176.018,171.478,157.553,169.612,146.54,167.613,168.39,164.325,174.455,174.556,148.962,176.839,186.405,153.908,165.694,174.407,159.382,166.372,185.52,144.634,151.41,171.245,141.983
"CDKN2AIPNL",52.5704,50.5726,62.401,49.338,39.5814,47.9462,51.2952,45.3045,46.6477,60.4576,49.8326,58.006,46.5919,43.6304,53.4679,48.68,41.4746,47.9915,45.3908,39.7499,38.399,66.7823,49.4806,50.0169
"CDS1",187.389,174.483,178.994,181.849,175.676,154.98,176.204,184.751,146.446,156.308,143.964,136.479,173.519,163.459,147.565,150.243,226.458,170.887,167.44,162.53,178.813,215.267,225.307,203.841
"CDS2",198.006,198.621,204.029,188.906,186.85,189.15,191.964,186.8,199.591,198.443,183.517,197.308,208.228,201.723,203.95,187.52,199.583,196.436,195.879,191.792,203.005,202.829,173.256,207.252
"CDV3",1090.37,1102.95,1084.42,1139.41,1151.86,1199.93,1175.2,1151.66,1205.33,1157.49,1158.37,1136.81,1154.4,1078.86,1129.36,1106.48,1148.13,1150.89,1212.9,1235.78,1353.1,1284.68,1286.61,1244.59
"CDX2",334.602,298.228,311.718,353.131,324.49,335.573,307.604,289.081,272.014,269.64,263.912,276.644,322.562,331.664,350.095,338.483,302.73,310.784,334.892,298.269,304.009,300.858,254.483,259.86
"CDYL",59.6944,48.7333,46.7745,44.732,42.9448,33.1196,49.6245,56.2418,43.8238,65.8926,53.3116,49.9395,65.508,57.4432,54.8928,59.2254,53.4839,47.5176,60.7032,63.7613,49.3638,60.8066,57.1705,45.7274
"CEACAM1",345.9597,329.8344,247.1143,365.1953,350.5025,308.0236,387.9398,372.9725,383.1253,377.1685,381.247,313.3395,395.9334,405.7644,307.2321,375.4077,385.3426,317.4318,412.3905,392.9961,421.0265,428.7685,404.7015,411.4786
"CEACAM5",144.934,149.925,152.476,154.635,158.07,170.824,157.465,148.369,166.252,144.469,157.179,146.834,152.744,159.584,165.816,137.87,153.244,149.246,156.676,162.531,188.145,179.097,181.162,154.985
"CEACAM6",287.822,281.293,277.021,331.079,310.959,339.806,289.055,275.066,318.181,272.933,276.861,281.222,340.291,302.414,302.306,306.901,296.259,290.161,296.219,281.553,332.072,321.069,259.229,259.594
"CEBPA",156.559,147.231,151.419,174.143,185.257,189.731,217.454,193.853,190.437,264.695,249.627,258.414,153.717,144.27,158.553,181.841,171.487,173.557,213.612,227.394,173.479,129.23,125.919,134.661
"CEBPB",45.3797,50.0841,45.6507,44.5087,36.3174,41.9572,48.2153,48.6644,38.5011,45.0964,39.1694,37.3801,48.6827,44.6906,37.6647,45.4311,48.7391,42.7313,44.8932,45.6411,37.8443,35.9046,42.9914,37.8811
"CEL",1107.16,1142.27,1076.55,1163.1,1143.32,1131.96,1124.47,1123.03,1127.32,1018.79,1009.1,985.926,1146.18,1150.83,1083.28,1184.22,1166.27,1204.87,1176.5,1152.11,1235.88,930.873,887.35,968.924
"CELF1",692.366,672.035,691.659,651.239,644.561,644.037,654.898,623.122,628.58,607.84,616.464,627.945,685.141,662.107,676.732,675.896,648.532,669.911,700.746,684.809,646.992,661.405,579.616,610.327
"CENPA",17.1225,17.729,14.9116,13.1804,11.6732,10.0851,15.9642,20.7832,13.6409,16.956,18.4768,13.9032,22.3054,16.5332,15.9189,18.1715,16.4587,13.9909,16.1097,15.2685,13.1295,16.8548,21.43,14.6925
"CENPF",39.1577,50.0858,46.1028,27.8259,34.8965,27.8681,40.223,62.1342,38.7621,43.0264,46.4084,55.5274,43.9818,51.4346,40.1892,44.6218,43.058,37.0779,42.3058,41.2361,29.4868,31.2281,46.8849,29.9221
"CENPH",86.0887,96.3959,95.8332,85.6788,63.2319,70.7343,77.6993,83.6418,81.8428,101.57,106.718,97.9266,87.9186,93.2441,92.6445,87.4618,88.9518,82.9565,86.2681,78.6145,69.5569,97.5286,93.9893,63.5056
"CENPQ",10.9879,12.6192,15.7221,8.58235,11.0343,8.01528,9.91443,12.6479,5.92847,8.0683,13.6762,12.4695,10.2932,13.0182,5.81782,10.0674,11.703,11.2302,10.2665,11.334,4.09677,7.6907,10.2738,8.282
"CENPV",51.1505,52.7788,52.143,48.5523,52.1454,56.1529,55.3529,55.2556,59.4468,51.7068,48.1694,58.6388,55.8544,51.555,60.0266,51.3009,57.9796,55.8213,53.0179,49.2128,60.2964,62.8701,70.9175,65.8844
"CEP170B",13.4747,12.5221,18.7851,10.8107,30.5184,18.0934,17.6379,18.9423,18.9376,11.4941,19.2058,16.8494,10.9007,19.6087,19.1822,11.3059,16.0558,18.5858,16.841,18.7817,24.1797,23.3085,18.5716,19.4693
"CEP41",30.7515,31.6926,28.3988,28.2576,32.8629,24.8401,31.7911,28.2815,29.2772,37.5636,32.3608,28.1123,34.712,28.9962,33.7881,35.0986,28.1598,29.7691,35.795,39.3259,27.922,36.2632,40.0333,26.7929
"CEP78",106.344,119.447,100.882,113.319,114.414,88.8864,114.036,126.653,114.139,111.688,131.315,103.282,124.173,119.7,91.0102,112.454,122.289,89.0682,113.933,123.206,104.279,119.328,128.701,117.091
"CEP85",7.50704,8.02138,6.23308,7.0614,8.05146,5.36865,6.3724,8.64799,9.02374,5.5664,6.04298,9.87393,7.70057,6.19333,6.68845,6.99824,8.24129,8.45832,6.49652,7.23757,7.24364,5.35439,5.89126,7.6348
"CEPT1",168.108,140.143,146.197,166.602,140.663,151.647,161.681,146.329,155.564,163.148,148.583,165.66,160.269,142.715,160.222,173.34,129.084,151.867,164.498,158.638,157.421,181.518,139.303,146.619
"CERS2",432.692,437.041,447.818,464.232,450.864,451.016,459.453,434.146,435.461,478.918,477.353,459.075,437.473,441.127,462.423,438.755,445.209,435.027,463.092,458.512,409.198,460.597,452.278,400.842
"CERS5",126.956,100.393,124.066,122.131,98.3616,121.788,105.794,101.29,125.093,120.434,101.956,114.35,134.928,98.7603,114.565,114.286,103.046,119.276,134.585,106.459,136.668,132.493,134.944,133.243
"CERS6",170.1,174.932,186.942,181.295,178.713,184.36,175.735,156.415,153.342,168.459,160.932,149.443,167.095,168.379,180.66,172.481,175.626,177.309,168.766,163.674,146.705,164.419,164.128,156.982
"CERT1",637.95,622.228,633.274,620.172,609.653,608.855,629.313,612.137,651.92,625.048,635.104,633.954,653.554,620.303,655.44,648.54,630.411,643.344,633.813,613.619,608.575,620.353,576.81,578.495
"CES1",1436.369,1561.126,1675.93,1710.823,1856.2,1657.908,1723.063,1697.125,1640.887,1769.384,1910.436,1695.896,1521.058,1596.377,1594.888,1730.728,1762.257,1698.45,1725.102,1788.188,1648.818,1307.068,1570.349,1555.889
"CETN2",275.633,307.776,298.371,234.962,260.362,282.015,282.573,307.712,321.198,332.893,346.986,331.331,276.298,302.568,290.711,280.588,297.52,292.929,270.822,296.831,295.263,282.702,292.784,309.977
"CETN3",254.305,202.504,238.573,240.93,203.377,220.726,229.879,206.758,210.916,229.616,204.841,196.366,213.337,203.958,190.319,266.593,196.423,205.821,268.591,209.312,232.916,279.872,233.039,232.241
"CFAP20",106.369,120.55,120.739,108.349,108.053,95.8019,98.1946,104.068,107.151,100.162,104.75,109.618,99.8279,108.957,111.357,97.021,107.941,97.6622,101.982,107.168,96.3073,96.5765,95.1176,92.3358
"CFAP298",59.1808,63.6191,61.8171,62.0008,50.3169,59.5921,58.3703,70.4312,66.8647,60.8745,69.7706,67.1517,63.6643,58.9001,60.8854,57.9552,57.3593,56.3123,58.5693,67.8326,65.1042,57.3978,68.7972,61.9487
"CFDP1",596.347,594.002,554.697,561.994,576.184,566.068,512.001,520.932,516.507,555.132,535.436,536.955,613.225,597.172,573.651,554.871,569.082,533.089,541.326,562.584,542.27,504.665,537.557,537.752
"CFL1",7644.06,7559.66,7275.02,7383.64,7526.31,7312.19,7343.86,7423.11,7371.52,7446.92,7516.36,7287.01,7636.83,7623.93,7235.13,7678.74,7724.44,7345.77,7614.15,7574.8,7772.93,7737.89,7933.11,7302.09
"CFL2",545.327,541.375,552.135,480.765,474.2,495.357,523.581,512.795,518.864,538.936,537.872,531.563,538.779,547.736,520.014,552.763,495.011,524.488,554.722,519.315,544.568,556.493,505.929,581.28
"CGAS",119.938,110.523,109.455,125.628,111.833,104.491,118.969,123.185,118.595,131.643,132.466,118.43,138.47,115.324,108.221,118.765,110.009,104.3,128.144,133.714,117.272,157.509,140.858,125.413
"CGGBP1",34.2169,30.3297,27.7932,35.2521,28.0041,33.5398,36.0906,33.8666,36.8687,38.3256,37.821,39.5539,33.9616,29.9652,36.6854,33.7408,29.923,32.1164,35.7543,37.4924,31.809,34.0198,22.5062,32.2723
"CGN",6043.086,6177.732,6002.2,6278.044,6368.282,6112.842,6407.925,6245.4,6149.208,5888.762,5906.846,5583.718,6039.952,6041.603,6106.286,6240.535,6403.08,6247.556,6407.712,6212.691,6207.757,6067.893,5799.938,5654.71
"CGREF1",28.2491,23.3124,22.0445,32.9718,18.6834,20.5324,29.0032,46.1796,32.5675,29.2328,24.2257,23.0863,25.247,24.1073,24.8846,28.0542,24.3668,25.3142,34.5902,20.2342,17.8065,25.353,19.5998,15.8259
"CHAC2",21.4538,20.0934,12.5301,20.5975,14.8738,16.1895,17.5204,19.4467,18.2826,17.9155,16.5799,16.7899,18.0217,18.5938,15.4673,13.656,17.4774,17.4268,16.6434,15.1796,14.9411,5.0519,18.1352,10.468
"CHAF1A",50.0431,46.4386,48.0925,47.1142,40.7654,43.8051,44.2133,42.0862,39.8892,56.8416,54.9334,45.789,48.2483,52.4326,56.1366,45.3003,47.5169,38.5514,48.8276,55.4585,45.3805,45.6735,47.7446,48.7953
"CHAF1B",233.2409,222.6065,227.9234,208.6337,175.5795,201.6653,221.8015,195.4855,188.2501,255.6079,235.4563,263.3373,236.2882,208.7407,214.7991,230.5111,184.6016,200.5063,222.4003,195.4889,190.7658,222.7105,217.6554,212.2678
"CHAMP1",430.498,433.939,423.314,437.395,439.364,413.25,461.276,466.385,423.276,451.492,465.666,474.831,469.237,470.284,462.015,446.739,475.272,454.056,478.537,491.488,434.515,467.223,480.611,427.239
"CHCHD2",298.509,304.197,292.054,280.903,275.326,296.682,302.985,288.982,287.276,272.872,263.052,277.288,302.944,386.881,302.688,336.613,570.815,301.464,269.554,296.935,283.052,265.076,267.429,228.867
"CHCHD3",2070.13,2121.75,2084.88,2019.29,2064.47,2076.45,1888.12,1944.51,1986.86,2055.56,2032.42,2059.13,2056.94,2017.71,2058.65,2025.34,1986.93,2052.13,2075.19,2027.96,2007.42,2178.61,2130.54,2252.46
"CHCHD4",145.125,163.553,167.584,155.91,168.629,153.473,144.019,152.924,142.214,150.533,150.445,154.963,158.607,159.637,153.411,164.011,163.614,160.272,154.835,166.821,133.817,141.447,137.167,141.959
"CHCHD6",24.0039,22.2016,26.3077,19.6774,20.2725,29.823,24.377,19.0367,22.3517,24.6824,21.5629,24.6009,27.3581,20.1907,28.115,25.4179,17.5307,31.028,23.4062,23.6421,27.4964,27.5103,21.1592,25.9923
"CHD1",519.5494,493.6154,493.3658,511.6747,476.5661,479.5389,486.2214,496.3548,484.6788,485.2173,482.8686,460.9108,493.1169,497.9356,504.3496,520.5814,476.2328,480.7621,499.3328,533.7643,475.4309,552.4904,489.59,491.1585
"CHD1L",660.144,594.313,639.638,636.003,581.933,619.002,622.228,561.892,568.809,660.073,616.742,647.074,620.904,592.099,641.74,636.792,576.855,591.998,653.881,607.222,574.78,612.712,581.474,596.877
"CHD2",103.693,94.9622,72.3234,86.7853,91.0785,87.0954,86.3212,91.1343,85.3635,87.7711,82.6134,73.6052,103.649,90.2967,97.6914,88.7954,88.3304,98.5362,95.0035,88.4397,81.0563,86.5679,82.3866,72.0064
"CHD3",512.9552,492.3049,567.3858,552.6477,466.8761,526.6658,497.5634,459.2999,466.9574,525.4301,503.913,503.9641,483.7473,494.7803,518.8904,549.406,466.261,496.5017,562.9959,489.6676,442.1299,503.8654,463.6934,449.5205
"CHD4",2848.98,2845.15,2928.79,2783.3,2654.23,2711.67,2862.62,2815.32,2732.25,2917.31,2824.76,2942.23,2664.7,2728,2830.08,2815.04,2737.18,2823.95,2838.28,2848.49,2651.86,2929.34,2666.8,2659
"CHD7",75.3516,73.792,60.9983,59.9552,52.0851,54.2856,72.2467,69.0328,60.693,66.7118,65.4924,55.4942,60.7765,60.3641,57.4405,62.2496,59.2156,59.5334,59.7154,54.1054,52.8327,50.7158,50.1536,51.6758
"CHDH",867.927,854.351,905.148,904.063,881.63,952.116,886.085,876.077,905.897,922.179,882.015,912.476,923.657,909.966,926.047,906.164,885.689,902.727,888.623,896.103,940.452,920.552,936.839,1000.2
"CHEK1",44.7848,38.062,39.1719,45.5739,35.0941,30.445,42.3528,38.9841,30.9329,69.3049,63.4255,58.8144,40.673,32.4641,33.8334,38.2588,31.049,30.7406,45.8957,36.9976,33.3907,66.1679,61.5745,48.9193
"CHERP",1463.87,1476.86,1494.68,1372.68,1382.86,1398.67,1419.13,1394.2,1377.97,1461.59,1417.02,1433.76,1424.85,1404.99,1433.86,1461.56,1407.79,1437.02,1465.09,1482.15,1341.86,1474.27,1479.1,1433.47
"CHID1",667.994,672.543,651.959,686.921,703.81,694.611,683.305,646.45,664.119,683.328,712.029,662.152,680.373,687.386,652.994,656.046,700.136,655.152,683.495,678.071,683.002,689.201,643.599,616.3
"CHKA",349.193,355.523,344.08,298.027,307.656,306.305,297.097,310.532,325.745,276.559,298.938,306.096,315.436,338.181,317.874,300.475,293.337,315.17,298.989,274.691,310.337,245.297,237.524,260.809
"CHKB",9693.4981,8855.17,6809.2295,8532.4286,8337.8091,8616.7948,9626.2182,9850.5231,12525.0268,10395.3076,10531.4154,8509.0637,12271.4625,10217.4768,8432.7029,9431.7504,11055.5755,9058.2285,9992.8878,9433.5716,14984.47,11263.2946,11179.2171,11313.7156
"CHM",209.2899,223.8955,214.2487,213.7596,201.9848,197.8448,196.3583,206.9242,205.8979,205.0145,221.1653,221.8077,218.6485,213.0368,213.6883,200.2663,230.2243,206.0997,205.9648,206.5995,222.0836,227.2958,188.02,216.6775
"CHML",295.784,298.583,291.095,302.752,297.731,289.477,309.416,294.69,298.457,313.65,287.824,279.206,306.479,300.091,292.49,313.302,299.67,285.636,311.653,297.838,306.326,285.57,279.699,277.663
"CHMP1A",1100.35,1160,1067.53,1145.99,1192.79,1170.88,1106.6,1232.53,1205.39,1207.86,1202.5,1108.26,1233.68,1183.88,1129.63,1096.14,1207.52,1085.75,1240.45,1282.28,1244.67,1164.14,1155.95,1060.24
"CHMP1B",879.641,918.584,900.938,868.619,942.336,933.608,899.606,921.281,951.175,923.823,903.626,862.29,943.213,923.969,908.464,921.398,915.444,935.567,948.192,960.577,1023.84,867.461,917.022,882.603
"CHMP2A",935.141,921.012,940.355,937.53,918.604,887.023,961.838,951.783,971.844,1009.88,1008.46,986.19,901.498,931.989,873.359,906.601,955.695,923.016,973.755,994.447,974.364,987.429,960.43,922.901
"CHMP2B",2481.052,2388.7622,2358.649,2575.35,2494.6276,2379.7295,2430.013,2401.3809,2345.5773,2315.982,2250.1898,2183.4463,2435.947,2360.8415,2317.038,2412.753,2484.2546,2312.2771,2416.067,2443.1269,2450.584,2339.21,2147.2321,2072.5614
"CHMP3",456.667,413.941,439.545,467.311,398.667,408.452,422.189,394.396,383.129,438.368,430.214,420.173,413.756,400.397,400.356,438.647,390.427,400.061,427.309,404.121,397.279,401.324,358.15,393.654
"CHMP4A",2751.4024,2759.8619,2665.8904,2729.2141,2801.5732,2789.3805,2687.51,2704.7726,2811.7316,2685.7938,2649.223,2590.7661,2796.8772,2764.351,2693.9119,2722.5434,2781.583,2706.3194,2802.4523,2762.784,2924.4845,2491.2864,2475.7437,2539.8964
"CHMP4C",206.12,190.371,202.636,203.326,193.202,204.226,232.303,203.782,228.063,207.748,193.466,214.366,214.843,194.665,193.916,222.927,194.013,216.048,228.669,218.943,230.382,190.808,173.373,200.296
"CHMP5",588.078,566.686,580.283,548.593,529.677,588.255,559.337,524.889,592.862,586.055,557.05,575.558,587.77,578.463,574.54,592.646,564.384,569.134,604.362,556.158,587.166,540.341,489.623,542
"CHMP6",114.733,127.051,126.376,126.491,132.119,128.384,123.258,134.649,135.86,126.683,137.803,124.425,120.468,134.272,127.22,116.688,129.795,135.982,112.571,127.623,130.759,133.259,119.944,140.929
"CHMP7",128.917,119.811,134.792,99.0939,105.733,113.224,142.261,125.608,140.219,117.038,114.468,124.008,92.6454,115.652,127.231,91.4043,98.4031,118.002,101.052,114.635,114.051,110.963,114.278,113.044
"CHORDC1",1510.19,1464.21,1594.42,1526.67,1458.92,1571.51,1410.6,1321.57,1457.15,1494.86,1391.91,1538.7,1504,1490.4,1594.47,1504.45,1329.34,1454.72,1484.45,1446.13,1416.35,1448.55,1311.19,1416.45
"CHP1",432.405,395.812,390.708,378.473,381.835,405.684,435.304,387.739,434.945,411.457,389.081,399.95,408.305,389.122,418.675,435.209,377.887,401.655,409.228,403.468,395.148,443.534,413.103,421.452
"CHST10",42.9246,88.3018,80.5577,55.6955,100.606,96.6396,45.6156,80.9968,83.0024,57.4347,73.9703,80.2689,57.3948,78.3557,79.5705,40.8923,89.1083,94.6392,57.643,89.6,88.3747,62.4055,73.0003,75.5092
"CHTF18",65.4509,90.5027,108.433,62.4334,84.6324,102.121,60.4065,82.6837,87.1771,78.5976,89.5993,101.775,59.1931,93.3036,98.3541,57.9056,87.3186,96.5515,66.4394,82.9933,88.0937,49.7997,75.9777,68.1999
"CHTOP",536.796,553.485,544.76,471.261,507.045,532.403,521.429,515.235,512.879,501.606,495.137,504.752,549.098,528.385,524.488,528.876,516.559,551.39,507.219,515.721,526.83,521.663,483.51,459.646
"CHUK",43.4298,41.278,40.0892,44.9964,44.4395,39.0534,43.5772,46.0275,34.7679,45.3197,40.0705,38.4774,44.1104,43.3392,41.7304,46.9136,40.6378,38.1995,52.9347,47.7101,37.7729,49.9653,41.3283,38.9293
"CHURC1",23.0486,26.7457,24.8371,19.8182,27.5684,22.3738,19.2795,25.3089,22.5164,21.9568,27.2251,19.6188,20.9446,25.8344,25.3366,22.9228,20.0812,19.9469,19.7907,19.9879,15.3182,12.979,15.0796,13.6882
"CIAO1",480.567,495.557,524.146,523.789,530.898,492.757,503.79,496.502,507.181,498.941,508.599,518.334,483.66,524.466,516.38,539.457,523.134,513.915,505.689,507.628,512.959,494.777,505.241,529.108
"CIAO2A",160.355,205.781,169.93,162.657,185.018,172.002,155.293,189.125,157.556,145.922,173.744,158.69,167.462,188.125,163.227,169.201,177.725,171.483,160.799,168.756,161.771,124.119,166.746,152.629
"CIAO2B",126.135,120.051,115.844,112.493,110.948,121.334,109.287,122.785,124.21,123.824,125.965,113.693,121.892,121.804,113.358,120.179,118.474,106.531,121.593,119.087,114.749,125.416,108.569,133.419
"CIAPIN1",1182.53,1107.3,1136.69,1252.36,1071,1070.36,1133.48,1206.14,1104.95,1229.7,1167.19,1170.76,1198.56,1109.78,1176.93,1218.84,1189.1,1169,1233.64,1127.6,1106.79,1239.41,1056.16,1024.04
"CIB1",19.0342,15.7941,18.0139,16.5197,17.9598,17.3643,17.6921,17.0764,17.8499,16.8541,15.4049,15.6981,17.7288,19.1134,15.4288,16.7989,18.6986,16.1277,16.9312,20.0205,12.0833,15.6949,16.59,20.2394
"CIC",57.542,69.7915,80.6837,55.1026,62.2622,63.2547,59.609,59.976,77.2943,50.1718,60.4951,76.4976,54.839,60.516,59.6203,57.1954,61.3475,77.6096,52.1004,60.0091,51.6107,53.892,61.2766,54.7401
"CINP",54.0347,43.7971,53.7878,50.8149,41.0346,56.7771,42.9752,40.0196,43.3737,55.419,44.4626,53.2812,49.3313,43.0052,56.8527,47.4508,40.4465,49.3642,49.7684,46.3123,61.4757,55.566,47.4571,49.5741
"CIP2A",67.4594,62.0349,50.2115,73.7022,60.2279,42.6756,64.9798,50.3719,52.1469,55.9489,54.9352,49.7029,73.806,57.042,52.9473,67.2152,71.8214,53.6029,66.3476,47.6794,49.8353,71.6443,62.9513,44.8095
"CIRBP",428.513,440.721,454.71,457.964,454.994,431.295,426.685,448.541,409.133,446.526,454.102,456.852,388.295,414.976,409.871,456.865,438.107,453.391,455.96,436.566,403.473,424.515,390.461,450.204
"CISD1",543.182,547.989,521.357,515.629,485.772,505.502,494.316,504.155,552.222,542.597,548.133,529.757,587.243,543.379,533.721,496.908,533.85,501.489,495.97,514.702,581.155,531.149,544.418,501.594
"CISD2",853.162,849.178,800.533,850.23,814.617,825.526,901.909,832.81,885.705,969.253,871.982,861.794,930.816,841.618,826.273,897.984,827.267,823.077,954.551,856.765,1007.77,964.284,845.62,742.106
"CISD3",65.6248,87.9133,161.378,28.1075,28.9968,27.5062,56.3949,51.9126,66.9977,45.9207,47.1094,54.8353,40.1601,38.0014,32.0987,45.1179,45.661,55.4538,35.3696,36.7717,40.8195,48.0709,56.1819,56.5588
"CIT",22.2494,21.5966,24.2726,23.4051,20.5418,21.7957,18.8157,17.5472,22.5646,23.8128,20.9645,27.2015,20.8028,19.5613,29.4942,19.2299,22.4204,28.817,18.75,19.541,21.1617,12.2179,15.6009,12.1253
