"","Control 2h","Control 2h_2","Control 2h_3","Control 6h_1","Control 6h_2","Control 6h_3","Control 10h_1","Control 10h_2","Control 10h_3","Control 24h_1","Control 24h_2","Control 24h_3","Virus 2h_1","Virus 2h_2","Virus 2h_3","Virus 6h_1","Virus 6h_2","Virus 6h_3","Virus 10h_1","Virus 10h_2","Virus 10h_3","Virus 24h_1","Virus 24h_2","Virus 24h_3"
"NOL4L",183.689,205.769,245.624,182.861,210.742,204.737,201.858,209.396,220.324,177.337,182.029,223.434,173.818,189.944,183.468,207.32,216.2,230.112,170.164,191.563,180.433,177.68,196.191,213.526
"NOL6",448.349,358.445,400.099,364.037,342.57,343.151,436.183,376.152,388.988,410.596,353.691,370.761,351.056,339.77,329.535,404.887,348.934,352.937,383.298,362.617,350.542,420.619,363.702,377.753
"NOL7",435.421,411.161,472.336,425.103,435.544,455.278,453.74,440.567,446.734,477.256,448.694,474.719,392.893,411.524,427.105,436.08,429.161,438.294,470.393,460.311,460.732,451.059,409.411,404.828
"NOL9",124.518,100.287,119.166,122.017,107.424,111.404,118.849,103.838,109.506,126.936,98.7699,118.297,122.949,102.195,114.703,128.533,108.405,115.324,133.519,110.218,114.597,112.825,95.7664,83.5279
"NOLC1",3810.69,3791.66,3862.99,3691.63,3581.72,3549.6,3776.38,3913.39,3656.1,3901.11,3811.74,3889.08,3632.74,3648.72,3549.51,3611.22,3908.72,3719.58,3863.92,3882.44,3628.86,4377.26,4197.39,3856.9
"NOM1",39.1369,35.3361,34.6349,36.0526,38.9465,38.1749,39.6989,35.8582,38.0001,37.4007,40.0179,41.6368,35.3864,33.0644,32.9277,35.7713,32.9007,34.2555,47.8341,40.1775,34.7574,38.7907,33.3643,41.7358
"NOMO1",1763.3236,1807.1679,1733.7269,1744.551,1778.0516,1683.7274,1758.2228,1806.419,1731.099,1831.0653,1907.1396,1756.2573,1793.3076,1831.1503,1746.84,1719.651,1774.1162,1746.0214,1754.7404,1858.8625,1746.8854,1946.6796,2056.414,1901.4047
"NOMO2",24.6499,33.9442,36.6086,29.7342,33.0123,33.1538,36.3683,36.7935,33.4113,33.7484,36.9835,35.5243,31.0326,35.6427,34.8097,25.2453,36.1219,35.4299,28.997,34.1724,37.6685,34.3764,46.9904,37.0864
"NONO",5323.8111,5313.747,5296.9348,5006.641,5079.038,4995.6621,5214.983,5265.617,5026.678,5469.828,5422.355,5394.385,5199.185,5183.954,5187.4112,5331.3416,5138.29,5159.877,5482.634,5369.778,5154.014,5745.984,5616.98,5567.485
"NOP10",410.81,387.36,390.756,399.908,401.385,349.847,389.034,395.631,341.87,355.878,360.74,348.123,382.265,371.244,356.755,371.981,379.986,356.505,376.223,379.136,406.099,530.052,561.737,522.988
"NOP14",698.455,685.507,711.998,654.326,655.492,644.751,722.102,709.334,710.397,773.554,754.508,826.232,645.31,636.221,652.226,678.747,664.065,690.599,712.015,723.274,642.221,730.473,651.808,612.589
"NOP16",152.25,143.451,142.731,140.029,139.113,155.38,160.56,158.861,161.304,163.309,170.218,162.499,142.674,143.11,137.838,152.948,140.482,152.756,180.19,163.973,172.752,210.277,187,164.898
"NOP2",2291.49,2262.76,2398.47,2211.53,2158.83,2204.48,2329.48,2242.88,2224.37,2228.14,2209.36,2337.06,2241.27,2196.33,2291.02,2215.34,2220.79,2264.35,2359.43,2324.98,2227.91,2512.96,2183.96,2061.11
"NOP53",118.3,100.627,111.964,130.411,105.727,134.327,158.646,126.743,140.72,142.706,110.055,133.46,110.596,94.1334,107.437,133.834,113.496,125.52,150.925,119.022,124.955,169.233,134.586,129.718
"NOP56",2061.98,2102.48,2067.7,2025.4,2028.23,2124.1,2157.79,2264.99,2193.25,2059.12,2072.82,2115.54,2010.65,2024.76,2068.65,2027.81,2143.06,2095.03,2181.57,2301.86,2225.6,2224.92,2241.79,1926.95
"NOP58",2345.84,2341.61,2306.64,2222.1,2285.61,2324.88,2412.97,2352.59,2431.99,2392.91,2339.83,2460.59,2254.41,2253.88,2276.66,2366.84,2250.9,2304.53,2464.61,2468.84,2405.58,2433.48,2271.73,2283.02
"NOSIP",234.507,226.084,275.16,249.45,243.507,248.953,243.361,243.22,247.132,270.315,252.404,303.389,210.55,239.816,260.94,230.761,229.049,240.368,248.146,256.756,236.775,221.932,237.812,209.493
"NOTCH2",18.9225,18.1931,19.4136,17.4604,17.9722,14.9822,23.7932,23.6726,18.674,18.2611,18.9532,18.8309,17.7386,16.0027,20.1638,21.7634,19.7765,19.1201,16.5465,19.2853,16.3185,10.2594,14.2649,22.9227
"NOX1",78.0961,63.4917,60.5,84.396,53.8586,58.5592,76.5571,61.7169,60.2107,63.4077,49.4698,46.3156,68.1742,56.3158,59.9914,69.2659,53.5623,56.1344,69.84,52.9898,51.9512,77.2127,63.7338,62.9176
"NPC1",402.699,383.319,367.566,363.07,390.913,361.642,376.218,377.471,355.787,327.473,348.723,340.604,412.181,396.714,369.32,392.042,395.344,361.964,381.159,376.057,358.162,377.571,410.049,367.134
"NPC2",1021.54,1119.58,1062.12,1128.36,1209.58,1239.09,1158.05,1124.52,1259.76,1139.34,1162.61,1202.44,1052.74,1109.69,1084.77,1113.25,1136.85,1128.36,1160.8,1223.38,1183.42,878.773,956.151,888.727
"NPEPL1",323.264,307.247,274.943,200.587,232.488,214.11,196.235,225.146,214.19,239.629,223.835,216.088,205.415,225.565,204.199,212.965,224.494,210.082,213.582,234.384,207.14,197.171,226.154,213.767
"NPEPPS",5213.66,5145.77,4872.87,5022.61,5104.77,5011.9,5033.68,5041.52,5121.61,5164.42,5127,4915.17,5443.7,5172.46,4936.17,5137.59,5292.84,5044.15,5226.39,5218.54,5600.91,5143.63,5080.66,4918.1
"NPLOC4",1083.48,1114.49,1057.58,1076.19,1098.25,1100.75,1090.62,1057.34,1049.3,1080.55,1072.66,1036.57,1086.85,1103.47,1102.06,1096.96,1050.83,1067.62,1108.62,1123.69,1074.96,1041.44,1021.94,1051.58
"NPM1",8660.84,8145.68,8558.26,8253.09,7925.74,7949.57,7979.37,8392.68,8153.83,8340.25,8188.38,8085.17,8209.79,7998.84,8175.62,8445.6,8209.69,8279.91,8512.21,8405.47,8412.89,10876.9,10621.4,10733
"NPM3",160.1796,138.1055,158.3534,146.3224,128.369,154.7233,148.6582,136.8654,140.1135,143.3162,130.2334,129.4897,146.3642,129.0176,142.038,152.9722,127.5825,146.1972,133.2304,126.1,120.2442,139.7847,121.9221,135.957
"NPNT",331.346,350.171,303.401,244.038,289.9,257.613,269.778,317.262,304.946,288.369,270.59,251.741,392.974,375.813,336.092,303.441,357.992,302.171,278.055,310.319,299.008,309.099,291.843,245.061
